,id,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,work_phone,phone,email,occyp_type,family_size,begin_month,credit,YEARS_BIRTH,Age_group,YEARS_EMPLOYED,EMPLOYED_group,income_avg
0,F138994709202500,F,N,N,0,202500.0,Commercial associate,Higher education,Married,Municipal apartment,0,0,0,NaN,2.0,6.0,1.0,39,30,12,10~20,101250.0
1,F113801540247500,F,N,Y,1,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,1,Laborers,3.0,5.0,1.0,32,30,4,1~5,82500.0
2,F150882092202500,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Sales staff,2.0,37.0,0.0,42,40,5,5~10,101250.0
3,F150372105157500,F,Y,Y,0,157500.0,State servant,Higher education,Married,House / apartment,0,0,0,Managers,2.0,26.0,2.0,42,40,5,5~10,78750.0
4,F134134996270000,F,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,High skill tech staff,4.0,18.0,1.0,37,30,13,10~20,67500.0
5,F175701978315000,F,N,N,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,1,Core staff,1.0,41.0,2.0,49,40,5,5~10,315000.0
6,M148965420270000,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,1,Drivers,2.0,53.0,0.0,41,40,14,10~20,135000.0
7,M151311466180000,M,Y,Y,1,180000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,NaN,3.0,38.0,2.0,42,40,4,1~5,60000.0
8,F157851308103500,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Medicine staff,2.0,5.0,2.0,44,40,3,1~5,51750.0
9,F190632213193500,F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,1,Laborers,1.0,40.0,2.0,53,50,6,5~10,193500.0
10,M1175991135000,M,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,3.0,51.0,2.0,33,30,0,~1,45000.0
11,F119382162157500,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Accountants,3.0,60.0,0.0,33,30,5,5~10,52500.0
12,F98872474135000,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,0,1,0,Sales staff,2.0,41.0,2.0,28,20,6,5~10,67500.0
13,F229220157500,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,1,0,No work experience,1.0,41.0,2.0,63,60,No work experience,No work experience,157500.0
14,M128594056157500,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,0,1,0,Drivers,4.0,60.0,0.0,36,30,11,10~20,39375.0
15,M194084553180000,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2.0,2.0,1.0,54,50,12,10~20,90000.0
16,M8853984270000,M,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,0,0,1,Sales staff,2.0,14.0,2.0,25,20,2,1~5,135000.0
17,F231130216000,F,N,Y,0,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,No work experience,2.0,37.0,2.0,64,60,No work experience,No work experience,108000.0
18,F137276031180000,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,NaN,2.0,7.0,2.0,38,30,16,10~20,90000.0
19,M198501753180000,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,NaN,2.0,35.0,2.0,55,50,4,1~5,90000.0
